rank,code,name,location,detected_by,importance,importance_median,dominant_category,dominant_share,breadth,importance_climate,datasets_driven_climate,direct_consumers,blocks_our_rebuilds,evidence,rebuilt_route,rebuilt_co2_ratio,recommendation,top_climate_dependants,imp_climate_change,imp_acidification,imp_ef_particulate_matter,imp_ecotoxicity_freshwater,imp_eutrophication_marine,imp_eutrophication_freshwater,imp_eutrophication_terrestrial,imp_human_toxicity_cancer,imp_human_toxicity_non_cancer,imp_ionising_radiation_human_health,imp_land_use,imp_ozone_depletion,imp_photochemical_ozone_formation_human_health,imp_resource_use_fossils,imp_resource_use_minerals_and_metals,imp_water_use,rank_median,rank_climate
11,05a10e4b-a919-33b6-b017-7c0bf7f7a7f9,"Polystyrene, expandable, at plant",RER,flag,14.459,9.321,"Ecotoxicity, freshwater",0.26,15,10.716,14,11,0,pages-not-found,S3,1.65,rebuilt: expert revision,"Polystyrene foam slab, at plant (85%); Polystyrene, extruded (XPS) CO2 blown, at plant (85%); Polystyrene foam slab, market mix, at regional storage (82%)",10.716,10.068,9.324,59.638,10.011,2.721,9.317,6.657,9.057,10.841,2.67,0.868,8.751,25.571,9.005,46.128,11,12
12,f29ea928-dad4-33fe-ac09-33391c25e0ae,"Titanium dioxide at plant, sulphate process, at plant",RER,flag,12.634,9.131,Ozone depletion,0.19,16,9.868,19,1,0,drafted,S3,0.67,rebuilt: expert revision,"Titanium dioxide, production mix, at plant (55%); LTO electrode material (Li4Ti5O12) (32%); Alkyd paint, white, 60% in H2O, at plant (28%)",9.868,25.21,33.423,4.964,10.603,8.223,12.826,4.101,6.836,7.78,2.922,37.96,10.452,10.344,8.238,8.393,12,15
13,4cad79ab-f140-35b7-a82d-bcbddc19cae9,"Tetrachloroethylene, at plant",WEU,structure,11.844,1.798,Ozone depletion,0.87,12,1.486,2,3,0,pages-not-found,,,"expert, with report","xx Tetrachloroethylene, at regional storage (98%); Solvents, organic, unspecified, at plant (11%); Refrigerant R134a, at plant (3%)",1.486,1.831,2.882,2.652,1.92,0.88,1.992,3.944,2.378,0.098,0.004,164.34,1.766,1.357,0.492,1.488,31,37
14,330e6ef1-e66d-3745-8b7f-eca35c8869a6,"Nylon 66, glass-filled, at plant",RER,structure,10.732,9.838,EF-particulate Matter,0.15,13,21.34,29,7,0,pages-not-found,S3,1.08,rebuilt: review and adopt,"Glass fibre reinforced plastic, polyamide, injection moulding, at plant (87%); Outer frame (74%); xx Wind power plant 2MW, offshore, moving parts (40%)",21.34,17.404,25.932,5.067,25.575,1.189,14.854,2.43,1.388,0.05,0.059,0.038,14.608,21.932,2.108,17.739,9,6
15,f8776697-a950-3522-9852-0dfeca6a8279,"Dichloromethane, at plant",RER,structure,9.5,3.884,Ozone depletion,0.7,11,3.542,4,29,0,pages-not-found,,,"expert, with report","Emulsion polymerisation, polyvinylchlorid (88%); Polyvinylalcohol, at plant (62%); Polyvinylbutyral, powder, at plant (53%)",3.542,4.945,7.158,5.134,4.535,0.593,5.398,2.319,4.53,0.009,0.022,105.976,4.226,2.484,0.341,0.787,16,27
16,c35b697b-e4d0-3d3b-874f-8e1554a6ad67,"Methylene diphenyl diisocyanate, at plant",RER,structure,6.78,7.464,"Ecotoxicity, freshwater",0.14,13,11.217,24,29,0,pages-not-found,S3,0.84,rebuilt: review and adopt,"Polyurethane, rigid foam, at plant (59%); Polyurethane, rigid foam, market mix, at regional storage (57%); PIR insulation with PVC cladding, insulation thickness 80mm (53%)",11.217,11.273,9.328,15.398,7.39,1.231,7.847,3.189,7.064,0.06,0.071,0.061,7.538,12.291,1.075,13.45,13,11
17,53117f8b-9311-37b3-bf5b-6e14b2ae711c,"Polycarbonate, at plant",RER,structure,4.587,3.538,"Ecotoxicity, freshwater",0.26,11,7.565,8,55,0,drafted,S3,0.66,rebuilt: expert revision,"Polycarbonate disk (97%); Transformer, low voltage use, at plant (40%); Potentiometer, unspecified, at plant (23%)",7.565,4.188,13.781,19.199,4.081,0.747,4.461,1.919,2.994,0.03,0.042,0.057,4.425,6.73,0.755,2.426,19,16
18,015cd7db-8a64-3f0b-ba15-6ff81e3d1eb4,"Polyvinylchloride, emulsion polymerised, at plant",RER,flag,4.306,1.93,Water use,0.43,14,2.616,6,2,0,pages-not-found,S3,0.8,rebuilt: review and adopt,"Polyvinylchloride, bulk polymerised, at plant (15%); Polyvinylchloride, at regional storage (15%); Polyvinylchloride (PVC) pipe (13%)",2.616,1.826,2.119,3.574,1.728,0.861,2.035,1.812,2.227,1.194,0.503,12.98,1.693,3.016,1.138,29.58,28,33
19,a86e40e4-1bf1-3124-8798-38c0e6b6af64,"Methylchloride, at plant",WEU,structure,4.248,2.26,Ozone depletion,0.53,12,2.0,4,1,0,pages-not-found,,,"expert, with report","Methylchloride, at regional storage (97%); Silicone product, at plant (17%); xx Ammonium chloride from chlorosilane, at plant (12%)",2.0,3.051,5.373,3.992,2.521,0.935,2.895,1.511,3.439,0.057,0.003,35.777,2.645,1.848,0.895,1.029,25,34
20,b242dd8f-393a-36a6-b974-436e78f905a2,"Latex, at plant",RER,flag,3.74,4.304,"Human toxicity, non-cancer",0.13,11,4.552,9,22,0,pages-not-found,,,"expert, with report","Pitch despergents, in paper production, at plant (87%); Flooring, from rubber granulate, at plant (42%); Toner, colour, powder, at plant (41%)",4.552,6.087,6.306,1.575,5.878,0.381,6.465,2.58,7.794,0.008,0.023,0.075,6.253,6.932,0.877,4.057,15,23
21,0f667d2d-2007-3185-8aeb-0b8e6fbdfb5c,"Hydrogen cyanide, at plant",RER,structure,3.598,1.969,Climate change,0.18,10,10.492,13,60,0,drafted,S3,1.28,rebuilt: expert revision,"Sodium cyanide, at plant (83%); EDTA, ethylenediaminetetraacetic acid, at plant (54%); DTPA, diethylenetriaminepentaacetic acid, at plant (54%)",10.492,5.998,8.187,0.395,4.039,1.984,6.263,0.903,0.514,0.018,0.053,0.011,6.401,9.089,1.27,1.955,27,13
22,582ad303-7f18-3110-83c2-bccca0dc995f,"Ethylene glycol, at plant",RER,flag,3.575,3.726,"Resource use, fossils",0.19,13,6.84,3,70,0,pages-not-found,S2,0.81,rebuilt: review and adopt,"Polyethylene terephthalate, granulate, amorphous, at plant (22%); Heat pump 10 kW production for water source heat pump system (11%); Flexible duct, aluminum/PET, DN of 125, at plant (10%)",6.84,3.827,4.155,6.886,3.625,1.302,4.005,1.631,1.997,2.57,0.912,0.154,4.428,10.77,3.881,0.214,18,17
23,a29aa0d5-9e37-34d7-8868-8a4fff95350a,"Xylene, at plant",RER,flag,3.413,3.521,"Resource use, fossils",0.21,12,4.65,5,41,0,pages-not-found,S3,1.05,rebuilt: review and adopt,"Phthalic anhydride, at plant (56%); xx Chlorothalonil, at regional storage (21%); xx Folpet, at regional storage (20%)",4.65,3.929,5.507,6.641,3.114,1.733,4.004,1.941,2.157,0.42,0.522,0.134,3.957,11.484,4.104,0.306,21,22
24,a22a1218-236e-32ca-8e90-302962a36fb5,"Nylon 6, at plant",RER,structure,3.248,3.863,Eutrophication marine,0.13,9,5.983,5,48,1,pages-not-found,,,"expert, with report","Flooring, tufted carpet with textile fabric backs, at regional storage (75%); Flooring, needle felt, at regional storage (53%); Strap retention (27%)",5.983,5.242,5.544,0.87,6.923,0.686,5.924,0.86,0.388,0.026,0.043,0.038,5.179,5.071,6.545,2.654,17,18
25,dad0fc14-f7f9-3292-8754-ac91fe7c2825,"Acrylonitrile-butadiene-styrene copolymer, ABS, at plant",RER,structure,3.193,3.525,"Resource use, fossils",0.15,13,5.782,6,68,0,pages-not-found,S3,0.6,rebuilt: expert revision,Acrylnitril-butadien-styrol (ABS) pipe (95%); Module lid (80%); Single room ventilator with heat recovery window frame model (28%),5.782,4.204,6.146,3.379,4.171,1.413,4.101,1.839,1.655,0.426,0.217,0.589,4.761,7.477,1.254,3.672,20,19
26,99a93e93-a8a8-34f3-88f3-6af0c21c4762,"Vinyl chloride, at plant",RER,flag,3.146,0.746,Ozone depletion,0.38,6,1.11,0,1,0,pages-not-found,S3,0.58,rebuilt: expert revision,"Chemicals organic, at plant (5%); Natural rubber based sealing, at plant (3%); Plasticiser, for concrete, based on sulfonated melamine formaldehyde (3%)",1.11,0.754,0.867,3.0,0.661,0.333,0.716,0.646,1.605,0.51,0.122,19.123,0.585,1.375,0.738,18.186,48,40
27,cde75755-0bae-3223-89c8-c38412981461,"Polymethyl methacrylate, beads, at plant",RER,structure,2.805,3.463,EF-particulate Matter,0.11,11,4.669,6,10,0,pages-not-found,S3,0.94,rebuilt: review and adopt,"Aluminiumtrihydroxide-acrylic glass, at plant (77%); Aluminiumtrihydroxide-acrylic glass, at plant (77%); Aluminiumtrihydroxide-acrylic glass, at plant (77%)",4.669,4.786,5.007,3.146,3.959,2.252,3.78,0.545,0.555,0.066,0.01,0.02,4.5,4.763,3.991,2.834,22,21
28,bfff239d-8ae3-3730-a048-dffb312515f3,"Purified terephthalic acid, at plant",RER,flag,2.738,2.597,"Resource use, fossils",0.16,12,4.476,5,1,0,pages-not-found,S3,0.34,rebuilt: expert revision,"Polyethylene terephthalate, granulate, amorphous, at plant (59%); Flexible duct, aluminum/PET, DN of 125, at plant (27%); Air filter, in exhaust air valve, at plant (24%)",4.476,3.625,4.089,5.674,3.093,1.142,3.28,1.661,2.101,0.602,0.236,0.165,3.928,7.101,1.734,0.91,24,24
29,1f6091b0-b8fd-3f54-b98b-dbfa5490e46a,"Toluene, liquid, at plant",RER,structure,2.628,2.182,"Resource use, fossils",0.22,9,5.064,8,60,1,pages-not-found,,,"expert, with report","Benzyl chloride, at plant (53%); Benzal chloride, at plant (43%); Benzyl alcohol, at plant (37%)",5.064,3.95,5.133,0.085,3.154,0.144,4.071,1.211,0.296,0.007,0.013,0.002,4.137,9.294,0.021,5.467,26,20
30,350909e9-9a74-33ff-a033-7d15c95e97dc,"Toluene diisocyanate, at plant",RER,structure,2.522,2.717,Eutrophication marine,0.19,9,3.578,2,3,0,pages-not-found,S3,0.42,rebuilt: expert revision,"Polyurethane, flexible foam, at plant (38%); Case, for tablet, at plant (11%); Headset (bluetooth), for smartphone, at plant (3%)",3.578,4.901,5.798,2.135,7.598,0.132,4.348,0.358,0.468,0.01,0.006,0.019,3.3,4.217,0.143,3.332,23,26
31,5ac0612d-cd34-3b83-bfc8-a9bf1983b68b,"Hydrogen, cracking, APME, at plant",RER,structure,2.023,1.618,"Resource use, fossils",0.23,8,4.069,3,1,0,pages-not-found,,,"expert, with report","Hydrogen, liquid, at plant (98%); Hydrogen sulphide, H2S, at plant (44%); Hydrogen peroxide, 50% in H2O, at plant (11%)",4.069,2.837,3.949,0.548,2.634,0.369,3.012,0.674,0.58,0.016,0.004,0.037,3.508,7.489,0.082,2.562,33,25
32,76aac688-8d44-3337-ac3e-9cac4cdafd8b,"Styrene, at plant",RER,structure,1.901,1.736,"Ecotoxicity, freshwater",0.12,12,3.341,3,3,0,pages-not-found,S3,0.52,rebuilt: expert revision,"Market for styrene butadiene rubber (SBR) (30%); Solvents, organic, unspecified, at plant (12%); Chemicals organic, at plant (12%)",3.341,2.588,2.955,3.534,1.756,1.622,1.901,1.715,1.127,0.555,0.123,0.321,1.669,3.399,0.376,3.43,32,28
33,f44d9ac3-f0cb-311d-bdba-3fd3946b573c,"Acetone, liquid, at plant",RER,structure,1.86,1.826,"Resource use, fossils",0.15,9,3.111,2,53,0,drafted,S3,0.91,rebuilt: review and adopt,"xx 4-methyl-2-pentanone, at plant (80%); Bisphenol A, powder, at plant (14%); Solvents, organic, unspecified, at plant (6%)",3.111,3.775,3.94,0.47,2.854,1.108,3.197,0.761,0.665,0.01,0.005,0.012,2.574,4.434,0.305,2.545,30,29
34,c4205d45-8dfb-3aad-ab3f-339c6b1da3f4,"Butadiene, at plant",RER,structure,1.829,0.93,"Resource use, fossils",0.25,8,2.983,2,9,2,pages-not-found,,,"expert, with report","Methyl tert-butyl ether, at plant (64%); Market for styrene butadiene rubber (SBR) (23%); xx Captan, at regional storage (7%)",2.983,3.514,4.518,0.124,2.849,0.126,2.999,0.216,0.262,0.011,0.002,0.005,2.678,7.366,0.011,1.599,45,30
35,e62c6873-86bb-3307-9c80-efac91af8457,Cellulose fibres (injected) (isofloc 2012),CH,flag,1.746,1.826,EF-particulate Matter,0.07,15,1.782,2,6,0,pages-not-found,,,"expert, with report","Cellulose fibres (injected) (isofloc 2012), import, at plant (100%); Cellulose fibres (injected), at regional storage (76%)",1.782,1.976,2.072,1.802,1.835,1.901,1.845,1.973,1.923,1.795,0.017,1.816,1.784,1.765,1.788,1.854,29,36
36,68bb95fd-1526-388c-a01a-50b8d99534b1,"Zeolite, powder, at plant",RER,flag,1.723,1.291,"Human toxicity, non-cancer",0.16,13,1.365,7,40,0,pages-not-found,,,"expert, with report","Synthetic gas, from wood, at fluidized bed gasifier (22%); Glazing, double (2-IV), U<1.1 W/m2K, at plant (19%); xx Glazing, triple (3-IV), U<0.5 W/m2K, at plant (17%)",1.365,1.246,1.058,1.682,1.041,2.86,0.968,2.681,4.408,1.215,0.582,3.63,0.639,1.326,1.604,1.256,35,39
37,dacb7921-fc1f-3ac6-8903-c667d2bddaf4,"Butene, mixed, at plant",RER,structure,1.607,0.943,"Resource use, fossils",0.18,8,2.655,7,33,0,pages-not-found,,,"expert, with report","Methyl ethyl ketone, at plant (75%); xx Butanes from butenes, at plant (33%); 2-butanol, at plant (33%)",2.655,3.035,3.662,0.117,2.82,0.188,3.061,0.63,0.738,0.009,0.007,0.008,3.029,4.589,0.018,1.148,44,32
38,68a626c2-facd-3f88-a5c2-b5cb15115739,"Carboxymethyl cellulose, powder, at plant",RER,flag,1.412,0.993,Ozone depletion,0.31,8,0.876,0,22,0,pages-not-found,,,"expert, with report","Anode paste, NCA (6%); Anode paste, LFP (6%); Marble pit lime plaster, matured (4%)",0.876,1.11,1.263,0.783,0.728,1.619,0.696,0.683,1.396,1.416,1.768,6.953,0.57,1.142,0.825,0.757,41,48
39,b2ddf286-46b3-3a00-8b8a-c38b11ced364,"Polystyrene, high impact, HIPS, at plant",RER,structure,1.339,1.081,"Resource use, fossils",0.21,8,2.787,7,50,0,pages-not-found,S3,1.26,rebuilt: expert revision,"All-in-one printer (WiFi), at plant (24%); Printer, laser jet, b/w, at plant (20%); Printer, laser jet, colour, at plant (20%)",2.787,2.121,2.774,0.152,1.996,0.059,1.886,0.377,0.108,0.007,0.007,0.018,2.739,4.553,0.054,1.785,36,31
40,6f509fd5-88e3-3e43-b96a-a91c2bace699,"Esters of versatic acid, at plant",RER,flag,1.303,1.356,Ozone depletion,0.13,10,1.423,2,1,0,pages-not-found,,,"expert, with report","Acrylic binder, 34% in H2O, at plant (18%); xx Cover coat, organic, at plant (15%); Acrylic filler, at plant (9%)",1.423,1.581,1.579,0.818,1.274,1.644,1.383,0.48,0.652,1.412,0.177,2.809,1.329,2.569,0.959,0.756,34,38
41,f5a22e0a-f55b-3639-86b9-85f999ea7c81,"Polycarboxylates, 40% active substance, at plant",RER,flag,1.155,0.879,Ozone depletion,0.2,6,0.594,0,34,0,pages-not-found,,,"expert, with report","Geopolymer concrete pipe, precast concrete, at plant (4%); Concrete for civil engineering, CEM III, B, NPK F (T3), primary, at plant (3%); Concrete for drilled piles, CEM III, B, NPK I (P2), 66% RC-C, at plant (2%)",0.594,0.921,0.997,0.836,0.521,1.011,0.464,1.179,1.083,0.606,0.513,3.626,0.556,2.11,3.134,0.332,47,55
42,1235438d-3385-3bd1-8921-17951c10c464,"Polystyrene, general purpose, GPPS, at plant",RER,structure,1.091,0.945,EF-particulate Matter,0.14,8,1.919,4,10,0,pages-not-found,S3,1.33,rebuilt: expert revision,"Cationic resin, at plant (78%); Anionic resin, at plant (25%); Water treatment plant, deionisation (23%)",1.919,2.171,2.382,0.199,1.785,0.178,2.054,0.564,0.362,0.006,0.005,0.02,2.026,2.347,0.11,1.325,43,35
43,efaba904-8105-36f4-960e-c01d962787eb,"Particle board, cement bonded, at plant",RER,flag,1.0,1.0,Climate change,0.06,16,1.0,1,1,0,drafted,S3,0.86,rebuilt: review and adopt,"Particle board, cement bonded, at plant, with resource correction (100%)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39,43
44,2b7663df-e40b-3aa9-b7ee-2ae098409a40,"xxx Wood wool boards, cement bonded, at plant",RER,flag,1.0,1.0,Climate change,0.06,16,1.0,1,1,0,drafted,S2,0.43,rebuilt: expert revision,"Wood wool boards, cement bonded, at plant, with resource correction (100%)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40,44
45,b3b66822-5c90-3dcd-aa2b-8a39dd2e5c10,"Glass wool mat, phenolic binder ISOVER, at plant",CH,flag,0.963,0.966,EF-particulate Matter,0.06,0,0.949,1,1,0,pages-not-found,,,"expert, with report","Glass wool, market mix, at regional storage (95%)",0.949,0.978,0.987,0.974,0.965,0.967,0.979,0.98,0.931,0.928,0.978,0.976,0.955,0.957,0.95,0.947,42,46
46,f74423b2-f369-31e8-9f86-690eca53ab81,"Gypsum block, at plant",DE,flag,0.892,0.922,Ozone depletion,0.07,0,0.978,1,1,0,pages-not-found,,,"expert, with report","Gypsum block, at regional storage (98%)",0.978,0.92,0.923,0.938,0.887,0.989,0.886,0.848,0.908,0.967,0.466,0.993,0.875,0.979,0.73,0.979,46,45
47,ef0d6337-8fb9-3975-a5b8-3d0c34bffe0b,"Gypsum lime plaster, at plant",CH,flag,0.861,1.0,Ozone depletion,0.07,0,1.0,1,1,0,pages-not-found,,,"expert, with report","Gypsum lime plaster, matured (100%)",1.0,1.0,1.0,0.996,1.0,1.0,1.0,1.0,0.999,0.998,0.0,1.0,1.0,1.0,0.0,0.79,37,41
48,9dde0e93-b9ef-3b8b-a6f8-0cff98a10f19,"Gypsum plaster, at plant",CH,flag,0.86,1.0,Ozone depletion,0.07,0,1.0,1,1,0,pages-not-found,,,"expert, with report","Gypsum plaster, matured (100%)",1.0,1.0,0.999,0.996,1.0,1.0,1.0,1.0,0.999,0.998,0.0,1.0,1.0,1.0,0.0,0.763,38,42
49,c890ba9e-0af2-3f0c-bd1f-ebf25c2fdbc9,"Cellular glass aggregate, at regional storage",CH,flag,0.782,0.616,"Ionising radiation, human health",0.27,2,0.345,1,3,0,no-pdf,,,"expert, no report","Render carrier board, resin bound, at plant (10%); Render carrier board, resin bound, at regional storehouse (10%); Lightweight plaster, mineral, at plant (4%)",0.345,0.601,0.66,0.207,0.63,0.695,0.646,0.42,0.355,3.335,0.365,1.84,0.506,0.923,0.727,0.254,51,60
50,75202015-6030-3e3e-8f9e-a424e2b13030,"Render carrier board, cement bound, at plant",DE,flag,0.703,0.731,"Eutrophication, freshwater",0.08,0,0.794,1,1,0,no-pdf,,,"expert, no report","Render carrier board, cement bound, at regional storage (79%)",0.794,0.762,0.811,0.715,0.619,0.879,0.63,0.593,0.869,0.851,0.193,0.778,0.578,0.71,0.717,0.745,49,52
51,a061bf96-1dc6-3ab8-8dae-af476463276b,"Gypsum fibre board, at plant",DE,flag,0.686,0.683,"Eutrophication, freshwater",0.09,0,0.826,1,1,0,pages-not-found,S2,0.4,rebuilt: expert revision,"Gypsum fibre board, at regional storage (83%)",0.826,0.617,0.613,0.755,0.536,0.97,0.492,0.699,0.667,0.899,0.4,0.917,0.464,0.835,0.423,0.859,50,51
52,909c9c24-8c69-3736-be51-699a03743352,"Gypsum plaster board, at plant",DE,flag,0.635,0.602,Ozone depletion,0.09,0,0.752,1,1,0,pages-not-found,S2,0.81,rebuilt: review and adopt,"Gypsum plaster board, at regional storage (75%)",0.752,0.575,0.616,0.605,0.506,0.87,0.448,0.577,0.599,0.768,0.595,0.89,0.403,0.761,0.397,0.789,52,53
53,48a7efb7-799c-30c3-b932-2c52a61da6bd,"Trichloroethylene, at plant",WEU,structure,0.627,0.574,"Human toxicity, cancer",0.24,4,0.012,0,1,0,pages-not-found,,,"expert, with report",,0.012,0.669,1.087,1.165,0.596,0.048,0.612,2.424,0.612,0.001,0.004,1.822,0.553,0.333,0.007,0.094,53,72
54,0b997ad0-3360-3f80-a886-009e81fa3c33,"Cross-laminted timber, PUR-bonded, packed, at plant",CH,flag,0.547,0.499,"Ionising radiation, human health",0.11,0,0.468,2,2,0,no-pdf,,,"expert, no report","Cross-laminated timber, average glue mix, at regional storage, with resource correction (23%); Cross-laminated timber, average glue mix, at regional storage (23%)",0.468,0.502,0.691,0.446,0.497,0.428,0.493,0.575,0.615,0.986,0.403,0.796,0.63,0.634,0.466,0.121,54,57
55,e6293140-cad8-32a8-81fc-64a059fd97ea,"Anthraquinone, at plant",RER,flag,0.517,0.077,"Human toxicity, cancer",0.78,1,0.071,0,1,0,drafted,S3,0.48,rebuilt: expert revision,"Hydrogen peroxide, 50% in H2O, at plant (2%)",0.071,0.181,0.171,0.323,0.062,0.078,0.08,6.451,0.046,0.076,0.009,0.202,0.057,0.072,0.344,0.043,66,67
56,5e272c8e-e9bc-3aa1-829e-035140910236,"Polybutadiene, at plant",RER,structure,0.485,0.192,EF-particulate Matter,0.27,2,0.884,1,15,0,pages-not-found,S3,0.29,rebuilt: expert revision,"Polymer modified bitumen with 3.5% polybutadiene, at plant (15%); Stone mastic asphalt (SMA) surface layer, 0% recycling, high temperature, at plant (8%); Semi-dense asphalt (SDA) surface layer, 0% recycling, high temperature, at plant (8%)",0.884,1.497,2.135,0.029,0.63,0.122,0.704,0.207,0.141,0.003,0.001,0.001,0.59,0.642,0.005,0.176,61,47
57,d10bea27-bb15-3e80-a163-9c8260f2b785,"Polyvinylidenchloride, granulate, at plant",RER,structure,0.447,0.311,"Human toxicity, cancer",0.24,3,0.397,2,7,0,pages-not-found,,,"expert, with report","Fuel cell stack production, 1 kWe, proton exchange membrane (PEM) (16%); Fuel cell system assembly, 1 kWe, proton exchange membrane (PEM) (13%); Anaerobic digestion plant covered, agriculture (2%)",0.397,0.227,1.11,1.353,0.426,0.062,0.511,1.71,0.362,0.009,0.011,0.004,0.26,0.445,0.001,0.257,57,59
