code,name,family,pdf,pages,status,note
291b03c4-2679-3b22-afb9-60c0228619f2,"Methyl methacrylate, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 ('Overview of chemicals inventoried in ecoinvent v1.0') lists this dataset with 'Reported in: Hischier 2007', i.e. it points at the missing Part II of the packaging report, and the 957-page chemicals report itself has no chapter for it. `2025 - LCI plastics - Rajabihamedani.pdf` lists it in Tab. 6.1, 'Products available in PlasticsEurope webpages but not yet updated', where the existing BAFU dataset is flagged 'S' for system process - i.e. the report names a newer eco-profile that could replace it, and prints no unit-process inventory for it or for any of the fourteen it did implement ('All datasets addressed for the updates are nowadays only available as system processes and therefore are modelled accordingly in this study'). The remaining reports that mention it - the electric-and-electronic-equipment, building-materials, photovoltaics, ICT and vehicle reports - only *use* it as an input, with an amount per product, never an inventory of its production. No report in the bundle documents how it is made, in numbers."
a86e40e4-1bf1-3124-8798-38c0e6b6af64,"Methylchloride, at plant",structure,2007 - LCI chemicals - Althaus.pdf,,pages-not-found,"Chapter 24 'Chloromethanes and Tetrachloroethylene' of the cited `2007 - LCI chemicals - Althaus.pdf` is this dataset's chapter. Its two inventory tables, Tab. 24.2 (p.301) and Tab. 24.3 (p.302), are captioned 'In- / Outputs for the modules ""methyl chloride, at plant"", ""dichloromethane, at plant"", ""trichloroethylene, at plant"" ...' but they hold the cumulated Boustead vectors of those datasets - resources, emissions and waste-treatment services, no production input - i.e. the targets' own answers, which the ecoSpold comment of this dataset states as well ('The data source for this process is a system inventory from Boustead. Due to the cumulated form of this data only the ressources and emissions included in the data source were considered'). For methyl chloride the chapter shows two different routes in Fig. 24.4 (methane chlorination) and Fig. 24.5 (methanol hydrochlorination) and then states, sec. 24.5.2: 'There was no information in those cumulated inventory data about the share of the two processes considered. Also the used allocation method to share the burdens between the obtained products in the methane chlorination process (methyl chloride, dichloromethane, chloroform, carbon tetrachloride) was unclear.' The dataset's own ecoSpold technology field says the same: 'Data refers to actual technology used in the companies included. This leads in total to an average value including all important production routes for this chemical.' Route share unknown and co-product allocation unknown. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. No other bundled report models chloromethane production."
c35b697b-e4d0-3d3b-874f-8e1554a6ad67,"Methylene diphenyl diisocyanate, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 ('Overview of chemicals inventoried in ecoinvent v1.0') lists this dataset with 'Reported in: Hischier 2007', i.e. it points at the missing Part II of the packaging report, and the 957-page chemicals report itself has no chapter for it. `2025 - LCI plastics - Rajabihamedani.pdf` lists it in Tab. 6.1, 'Products available in PlasticsEurope webpages but not yet updated', where the existing BAFU dataset is flagged 'S' for system process - i.e. the report names a newer eco-profile that could replace it, and prints no unit-process inventory for it or for any of the fourteen it did implement ('All datasets addressed for the updates are nowadays only available as system processes and therefore are modelled accordingly in this study'). The remaining reports that mention it - the electric-and-electronic-equipment, building-materials, photovoltaics, ICT and vehicle reports - only *use* it as an input, with an amount per product, never an inventory of its production. No report in the bundle documents how it is made, in numbers."
a1d7a889-ea1b-3f62-b741-f16ed300f920,"Naphtha, APME mix, at refinery",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 attributes 'naphtha, APME mix, at refinery RER' to 'Hischier 2007' (the missing Part II). `2007 - Crude oil - Jungbluth.pdf` models the ecoinvent refinery in full, but its product is 'naphtha, at refinery' [RER / CH] - a different dataset, which BAFU carries separately as a 33-input unit process - and it says nothing about the APME mix, whose whole point is that it is PlasticsEurope's own cumulated refinery figure rather than ecoinvent's model. Note for the spec: because BAFU already contains 'Naphtha, at refinery' [RER] as a unit process of the same product, this dataset is reachable by strategy S2 (template transfer) even though no report prints its inventory; that is a different claim from 'the report documents it', which is what this step asks, hence found = false."
a22a1218-236e-32ca-8e90-302962a36fb5,"Nylon 6, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 ('Overview of chemicals inventoried in ecoinvent v1.0') does not list this dataset at all - it is a polymer, and the plastics part of the database is documented in the packaging report, not in the chemicals report - and the 957-page chemicals report has no chapter for it either. `2025 - LCI plastics - Rajabihamedani.pdf` lists it in Tab. 6.1, 'Products available in PlasticsEurope webpages but not yet updated', where the existing BAFU dataset is flagged 'S' for system process - i.e. the report names a newer eco-profile that could replace it, and prints no unit-process inventory for it or for any of the fourteen it did implement ('All datasets addressed for the updates are nowadays only available as system processes and therefore are modelled accordingly in this study'). The remaining reports that mention it - the electric-and-electronic-equipment, building-materials, photovoltaics, ICT and vehicle reports - only *use* it as an input, with an amount per product, never an inventory of its production. No report in the bundle documents how it is made, in numbers."
9cd9d57f-0df0-3a2c-bb24-c50f0a1b2286,"Nylon 66, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 ('Overview of chemicals inventoried in ecoinvent v1.0') does not list this dataset at all - it is a polymer, and the plastics part of the database is documented in the packaging report, not in the chemicals report - and the 957-page chemicals report has no chapter for it either. `2025 - LCI plastics - Rajabihamedani.pdf` lists it in Tab. 6.1, 'Products available in PlasticsEurope webpages but not yet updated', where the existing BAFU dataset is flagged 'S' for system process - i.e. the report names a newer eco-profile that could replace it, and prints no unit-process inventory for it or for any of the fourteen it did implement ('All datasets addressed for the updates are nowadays only available as system processes and therefore are modelled accordingly in this study'). The remaining reports that mention it - the electric-and-electronic-equipment, building-materials, photovoltaics, ICT and vehicle reports - only *use* it as an input, with an amount per product, never an inventory of its production. No report in the bundle documents how it is made, in numbers."
330e6ef1-e66d-3745-8b7f-eca35c8869a6,"Nylon 66, glass-filled, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 ('Overview of chemicals inventoried in ecoinvent v1.0') does not list this dataset at all - it is a polymer, and the plastics part of the database is documented in the packaging report, not in the chemicals report - and the 957-page chemicals report has no chapter for it either. `2025 - LCI plastics - Rajabihamedani.pdf` lists it in Tab. 6.1, 'Products available in PlasticsEurope webpages but not yet updated', where the existing BAFU dataset is flagged 'S' for system process - i.e. the report names a newer eco-profile that could replace it, and prints no unit-process inventory for it or for any of the fourteen it did implement ('All datasets addressed for the updates are nowadays only available as system processes and therefore are modelled accordingly in this study'). The remaining reports that mention it - the electric-and-electronic-equipment, building-materials, photovoltaics, ICT and vehicle reports - only *use* it as an input, with an amount per product, never an inventory of its production. No report in the bundle documents how it is made, in numbers."
2b89ce00-c1f2-3e3e-b822-550b42aa88c2,"Pentane, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 lists 'pentane, at plant RER' as 'Reported in: Part II', but the report has no pentane chapter. The only trace of one is a copy-and-paste error inside chapter 84 (Tetrachloromethane), whose sec. 84.5.3 reads 'Tab. 84.2 and Tab. 84.3 summarize the resulting data of the average pentane production in Europe' while those tables are in fact captioned 'Input data of the dataset ""tetrachloromethane, at plant (RER)""' - the index and that sentence both point at a chapter that does not exist. Sutter's solvent report models 2-methylpentane and methylcyclopentane, not pentane. The dataset's technology field, 'production 90% by cracking or reforming processes in a refinery out of gasoline or naphtha fractions / 10% as by-product', is again a multi-output refinery cut with no allocation printed anywhere."
5e272c8e-e9bc-3aa1-829e-035140910236,"Polybutadiene, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 ('Overview of chemicals inventoried in ecoinvent v1.0') does not list this dataset at all - it is a polymer, and the plastics part of the database is documented in the packaging report, not in the chemicals report - and the 957-page chemicals report has no chapter for it either. `2025 - LCI plastics - Rajabihamedani.pdf` lists it in Tab. 6.1, 'Products available in PlasticsEurope webpages but not yet updated', where the existing BAFU dataset is flagged 'S' for system process - i.e. the report names a newer eco-profile that could replace it, and prints no unit-process inventory for it or for any of the fourteen it did implement ('All datasets addressed for the updates are nowadays only available as system processes and therefore are modelled accordingly in this study'). The remaining reports that mention it - the electric-and-electronic-equipment, building-materials, photovoltaics, ICT and vehicle reports - only *use* it as an input, with an amount per product, never an inventory of its production. No report in the bundle documents how it is made, in numbers."
53117f8b-9311-37b3-bf5b-6e14b2ae711c,"Polycarbonate, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 ('Overview of chemicals inventoried in ecoinvent v1.0') does not list this dataset at all - it is a polymer, and the plastics part of the database is documented in the packaging report, not in the chemicals report - and the 957-page chemicals report has no chapter for it either. `2025 - LCI plastics - Rajabihamedani.pdf` lists it in Tab. 6.1, 'Products available in PlasticsEurope webpages but not yet updated', where the existing BAFU dataset is flagged 'S' for system process - i.e. the report names a newer eco-profile that could replace it, and prints no unit-process inventory for it or for any of the fourteen it did implement ('All datasets addressed for the updates are nowadays only available as system processes and therefore are modelled accordingly in this study'). The remaining reports that mention it - the electric-and-electronic-equipment, building-materials, photovoltaics, ICT and vehicle reports - only *use* it as an input, with an amount per product, never an inventory of its production. No report in the bundle documents how it is made, in numbers."
cde75755-0bae-3223-89c8-c38412981461,"Polymethyl methacrylate, beads, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 ('Overview of chemicals inventoried in ecoinvent v1.0') does not list this dataset at all - it is a polymer, and the plastics part of the database is documented in the packaging report, not in the chemicals report - and the 957-page chemicals report has no chapter for it either. `2025 - LCI plastics - Rajabihamedani.pdf` lists it in Tab. 6.1, 'Products available in PlasticsEurope webpages but not yet updated', where the existing BAFU dataset is flagged 'S' for system process - i.e. the report names a newer eco-profile that could replace it, and prints no unit-process inventory for it or for any of the fourteen it did implement ('All datasets addressed for the updates are nowadays only available as system processes and therefore are modelled accordingly in this study'). The remaining reports that mention it - the electric-and-electronic-equipment, building-materials, photovoltaics, ICT and vehicle reports - only *use* it as an input, with an amount per product, never an inventory of its production. No report in the bundle documents how it is made, in numbers."
09913ea6-df42-3720-8981-e46d587a30d8,"Polymethyl methacrylate, sheet, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 ('Overview of chemicals inventoried in ecoinvent v1.0') does not list this dataset at all - it is a polymer, and the plastics part of the database is documented in the packaging report, not in the chemicals report - and the 957-page chemicals report has no chapter for it either. `2025 - LCI plastics - Rajabihamedani.pdf` lists it in Tab. 6.1, 'Products available in PlasticsEurope webpages but not yet updated', where the existing BAFU dataset is flagged 'S' for system process - i.e. the report names a newer eco-profile that could replace it, and prints no unit-process inventory for it or for any of the fourteen it did implement ('All datasets addressed for the updates are nowadays only available as system processes and therefore are modelled accordingly in this study'). The remaining reports that mention it - the electric-and-electronic-equipment, building-materials, photovoltaics, ICT and vehicle reports - only *use* it as an input, with an amount per product, never an inventory of its production. No report in the bundle documents how it is made, in numbers."
ec16c280-6141-3c0b-a896-b895d82ef62d,"Polyols, at plant",structure,2007 - LCI packagings and graphical papers - Hischier.pdf,,pages-not-found,"The cited report `2007 - LCI packagings and graphical papers - Hischier.pdf` is, in this documentation bundle, only the 17-page front matter of ecoinvent report No. 11 (cover, commissioners, author page, preface, acknowledgement, table of contents and one figure). Caption extraction over the whole file finds exactly one caption, 'Fig. 4.1 Decision criteria for packagings and instruments for their ecological evaluation' (p.12). Part II, the plastics part that holds this dataset's chapter, is not in the bundle. Per the rule that the cited report is not the only report that may document a dataset, all 114 bundled reports were converted with pdftotext and searched for an inventory of this dataset. Althaus Tab. 1.1 ('Overview of chemicals inventoried in ecoinvent v1.0') lists this dataset with 'Reported in: Hischier 2007', i.e. it points at the missing Part II of the packaging report, and the 957-page chemicals report itself has no chapter for it. `2025 - LCI plastics - Rajabihamedani.pdf` lists it in Tab. 6.1, 'Products available in PlasticsEurope webpages but not yet updated', where the existing BAFU dataset is flagged 'S' for system process - i.e. the report names a newer eco-profile that could replace it, and prints no unit-process inventory for it or for any of the fourteen it did implement ('All datasets addressed for the updates are nowadays only available as system processes and therefore are modelled accordingly in this study'). The remaining reports that mention it - the electric-and-electronic-equipment, building-materials, photovoltaics, ICT and vehicle reports - only *use* it as an input, with an amount per product, never an inventory of its production. No report in the bundle documents how it is made, in numbers."
