code,name,family,detected_by,report,class,basis
76aac688-8d44-3337-ac3e-9cac4cdafd8b,"Styrene, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
61383306-1d5d-3a54-8ef2-bc147f1af68b,"Styrene-acrylonitrile copolymer, SAN, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
350909e9-9a74-33ff-a033-7d15c95e97dc,"Toluene diisocyanate, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
69fc38b9-c577-3cb3-b1d2-dd37d22c46df,"xx Acetone cyanohydrin, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
ebb59715-41fd-36c1-81c1-70ee260e240e,"xx Nylon 6, glass-filled, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
d8ec4be3-c410-3806-98f5-a2ec5a284fee,"Burnt shale, at plant",treeze-kbob,flag,drafted,enough information,rebuilt (S1)
c3490cfc-bcf2-38a2-a8c1-2d50ba65c83e,"Cement ZN, D, at plant",treeze-kbob,flag,drafted,enough information,rebuilt (S3)
a061bf96-1dc6-3ab8-8dae-af476463276b,"Gypsum fibre board, at plant",treeze-kbob,flag,pages-not-found,enough information,rebuilt (S2)
909c9c24-8c69-3736-be51-699a03743352,"Gypsum plaster board, at plant",treeze-kbob,flag,pages-not-found,enough information,rebuilt (S2)
68a626c2-facd-3f88-a5c2-b5cb15115739,"Carboxymethyl cellulose, powder, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,only a partial hint: technology: alkaline cellulose with monochloroacetic acid
b242dd8f-393a-36a6-b974-436e78f905a2,"Latex, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,only a partial hint: technology: emulsion polymerisation of styrene and butadiene
f5a22e0a-f55b-3639-86b9-85f999ea7c81,"Polycarboxylates, 40% active substance, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,only a partial hint: includedProcesses: out of acrylic acid and maleic anhydride
475c916f-6080-33fb-ab55-6370a4c5fdb0,"Sodium perborate, monohydrate, powder, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,"only a partial hint: includedProcesses: out of borax, NaOH and hydrogen peroxide"
7efdfea7-aedf-3844-b47e-1b07ea02dae7,"Sodium perborate, tetrahydrate, powder, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,"only a partial hint: includedProcesses: out of borax, NaOH and hydrogen peroxide"
33c61a93-f37a-3203-9d0d-dad895dc69a3,"Sodium percarbonate, powder, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,only a partial hint: technology: crystallisation from soda and hydrogen peroxide
68bb95fd-1526-388c-a01a-50b8d99534b1,"Zeolite, powder, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,"only a partial hint: includedProcesses: out of aluminium hydrate, sodium silicate and sodium hydroxide"
daf2331c-b983-3d66-a43d-676900fd0d36,"Zeolite, slurry, 50% in H2O, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,"only a partial hint: includedProcesses: out of aluminium hydrate, sodium silicate and sodium hydroxide"
a40c841b-2f93-3356-bbc3-c7e80c32e8b2,"Flax culture, flax seeds",french-biobased,flag,no-pdf,not enough information,"only a partial hint: includedProcesses names the field operations (soil cultivation, sowing, fertilisation, harvest)"
ccf251da-b0ba-3978-a393-ff59629e8732,"Flax culture, flax straw",french-biobased,flag,no-pdf,not enough information,"only a partial hint: includedProcesses names the field operations (soil cultivation, sowing, fertilisation, harvest)"
1dde3a89-6123-3c70-aebd-25d06f726f26,"Flax insulation, at regional storage",french-biobased,flag,no-pdf,not enough information,"only a partial hint: market dataset: supply mix named (ARBIO 90 %, France 10 %) plus transport"
1b03f99a-a91c-32a3-8c0b-a58031ec781f,"Flax insulation, fireproofed, at regional storage",french-biobased,flag,no-pdf,not enough information,"only a partial hint: market dataset: supply mix named (ARBIO 90 %, France 10 %) plus transport"
15a37765-e179-30c4-9256-6c8f951b530f,"Hemp culture, hemp seeds",french-biobased,flag,no-pdf,not enough information,"only a partial hint: includedProcesses names the field operations (soil cultivation, sowing, fertilisation, irrigation, harvest)"
59b63f91-98d6-3cb4-9d30-ecb7a381bfc2,"Hemp culture, hemp straw",french-biobased,flag,no-pdf,not enough information,"only a partial hint: includedProcesses names the field operations (soil cultivation, sowing, fertilisation, irrigation, harvest)"
64e926e8-dd48-3704-b902-daaf546087c4,"Hemp lime concrete, at regional storage",french-biobased,flag,no-pdf,not enough information,"only a partial hint: market dataset: supply mix named (ARBIO 60 %, Switzerland 40 %)"
1dffb1b6-8264-3d87-960f-29b4c3c1e20b,"Rectangular straw bale, baling and loading bales",french-biobased,flag,no-pdf,not enough information,"only a partial hint: the name gives the two operations (baling, loading bales), which the sibling dataset removes from 'Wheat straw IP, at farm'"
d08fb1ff-df78-3970-a21e-d13261fe9fac,"Rectangular straw bale, straw cultivation",french-biobased,flag,no-pdf,not enough information,"only a partial hint: technology: 'fully refers to the ecoinvent dataset ""Wheat straw IP, at farm""' minus baling and loading"
4b4cdbb7-1edb-3e1c-a7c0-53a5bb19d516,"Aluminium profile, uncoated, Hydro Building Systems, Circal, at regional storage",kbob-manufacturer,flag,no-pdf,not enough information,"only a partial hint: includedProcesses: aluminium with 82.1 % recycled share, profile production, transport to Switzerland"
6cb6413f-4964-3e85-9d89-52de95510ec5,"Brick, filled with perlite, at regional storage",kbob-manufacturer,flag,no-pdf,not enough information,only a partial hint: comment: the brick plus 550 km transport to Bern
c890ba9e-0af2-3f0c-bd1f-ebf25c2fdbc9,"Cellular glass aggregate, at regional storage",kbob-manufacturer,flag,no-pdf,not enough information,"only a partial hint: market dataset: Misapor 70 %, other producers 30 %"
6860a668-cc63-365e-a3c8-8ac94ccfbbd9,"Disposal, brick, filled with perlite",kbob-manufacturer,flag,no-pdf,not enough information,"only a partial hint: comment: the KBOB 'disposal, brick' process is used"
3a8c93a3-f89e-30d6-8203-ee0ead9dbfff,"Window frame, aluminium, Hydro, Circal, Wicline 75evo, U=1.2W/m2K, at regional storage",kbob-manufacturer,flag,no-pdf,not enough information,"only a partial hint: includedProcesses: aluminium with 82.1 % recycled share, frame production, transport"
298abdac-f564-358c-95a3-7a43418d2671,"Ethylene, average, at plant",plasticseurope,flag,pages-not-found,not enough information,"only a partial hint: technology: steam cracking described (multi-output, no allocation printed)"
dab0fa22-ba8d-34a9-b594-c980886b0b14,"Pyrolysis gasoline, production mix, at plant",plasticseurope,flag,pages-not-found,not enough information,"only a partial hint: technology: steam cracking described (multi-output, no allocation printed)"
c4205d45-8dfb-3aad-ab3f-339c6b1da3f4,"Butadiene, at plant",structure,structure,pages-not-found,not enough information,"only a partial hint: technology: steam cracking of naphtha (multi-output, no allocation printed)"
dacb7921-fc1f-3ac6-8903-c667d2bddaf4,"Butene, mixed, at plant",structure,structure,pages-not-found,not enough information,"only a partial hint: technology: steam cracking of naphtha (multi-output, no allocation printed)"
0a1033cd-0bf1-3ee9-8942-87d11f4b5b76,"Carbon tetrachloride, at plant",structure,structure,pages-not-found,not enough information,"only a partial hint: technology: three routes (methane with chlorine, chlorination of chloromethane or of higher hydrocarbons)"
5ac0612d-cd34-3b83-bfc8-a9bf1983b68b,"Hydrogen, cracking, APME, at plant",structure,structure,pages-not-found,not enough information,"only a partial hint: technology: cracking of naphtha (multi-output, no allocation printed)"
a22a1218-236e-32ca-8e90-302962a36fb5,"Nylon 6, at plant",structure,structure,pages-not-found,not enough information,only a partial hint: technology: out of caprolactam
2b89ce00-c1f2-3e3e-b822-550b42aa88c2,"Pentane, at plant",structure,structure,pages-not-found,not enough information,only a partial hint: technology: cracking or reforming of gasoline or naphtha fractions
d10bea27-bb15-3e80-a163-9c8260f2b785,"Polyvinylidenchloride, granulate, at plant",structure,structure,pages-not-found,not enough information,only a partial hint: technology: out of vinylidenchloride
169c6f0a-21f5-3497-b439-a46a8e2f5a3b,"Propylene, at plant",structure,structure,pages-not-found,not enough information,"only a partial hint: technology: steam cracking of naphtha (multi-output, no allocation printed)"
1f6091b0-b8fd-3f54-b98b-dbfa5490e46a,"Toluene, liquid, at plant",structure,structure,pages-not-found,not enough information,only a partial hint: technology: catalytic reforming of naphtha
ada054d4-788d-3c16-aefb-e280c49a807b,"xx Ethylene, pipeline system, at plant",structure,structure,pages-not-found,not enough information,"only a partial hint: technology: steam cracking of naphtha (multi-output, no allocation printed)"
62ed2669-7c6d-3924-abd3-39bd842f5207,"xx Propylene, pipeline system, at plant",structure,structure,pages-not-found,not enough information,"only a partial hint: technology: steam cracking of naphtha (multi-output, no allocation printed)"
e62c6873-86bb-3307-9c80-efac91af8457,Cellulose fibres (injected) (isofloc 2012),treeze-kbob,flag,pages-not-found,not enough information,only a partial hint: comment: input is mainly waste paper; only transport considered
6f509fd5-88e3-3e43-b96a-a91c2bace699,"Esters of versatic acid, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
7fa67971-6cbc-3549-9ef2-f518ff87e652,"Feldspar, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
c3604814-e4ea-34f4-b598-79591fbf1483,"xx Layered sodium silicate, SKS-6, powder, at plant",ecoinvent-v2-confidential,flag,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
870170e5-b0d0-366a-9834-36a087cbff08,Assembled formwork,french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
b3520083-2e0d-3af9-92ab-37a107aefad2,"Disposal, flax insulation",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
ed5c2271-7ad0-35a8-b6fd-b84e2a130f4d,"Disposal, hemp lime concrete",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
0e5b1b3f-e47a-31e0-b204-9fc58e3e7120,"Disposal, rammed earth wall",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
cbf206bd-8545-3972-bdb7-4539d8fff72d,Fireproof product,french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
615007ea-c23a-3883-87e0-c70a80cb15ea,Fireproofed flax tows from scutching,french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
0ed161a7-0fe7-35eb-8a90-ab50a100ac7d,"Fireproofed jute fibers, recycled",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
3f7a8f51-30be-33fb-8062-8bcdfe305833,"Flax insulation, at plant",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
63edaf72-6c34-3461-bcfd-c06dd52a8fec,"Flax insulation, fireproofed, at plant",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
c493e480-fb99-3ea8-b9d9-bb15a9cd76d1,"Flax straw scutching, long fibers",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
37bd8a07-89d4-3f9d-8fb9-eaf7c74c2b5a,"Flax straw scutching, seeds for fodder",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
f4eff67a-49f5-3c1d-bd6e-711e0cad54f5,"Flax straw scutching, shives",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
7cd79b1c-82eb-3ed3-bbce-d72c0ed09f79,"Flax straw scutching, tows from scutching",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
b6c4df10-70fb-3247-86e8-062d5c9a1934,"Hemp lime concrete, at building site",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
f33d1ed4-123b-3d4c-a52d-1482f7ab1117,"Hemp straw scutching, dusts",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
8e2c534d-a7df-3c27-bdc7-7aa413cb8d6e,"Hemp straw scutching, fibers",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
4837f31d-4e9b-37c7-8965-3ec5f35228fd,"Hemp straw scutching, hurds",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
b63735ed-5fe7-3b2a-9552-ae0269a2125c,"Jute fibers, recycled",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
62f1ccfe-ee89-3659-b721-87c3f20f11ac,"Rammed earth wall, at building site",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
c0b6a4f8-9148-3d78-b9c7-5992f47e0e10,"Rammed earth wall, earth extraction",french-biobased,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
9ce2128d-aab2-3a73-9b1d-a9c69d037fe2,"Basalt, Flumroc, at mine",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
18a506a4-5e50-30a7-90c5-ed4132eb7937,"Briquette, Flumroc, at plant",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
bec8f889-cb7d-3f89-b202-b210c324c37e,"Cellular glass aggregate Misapor, at plant",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
0b997ad0-3360-3f80-a886-009e81fa3c33,"Cross-laminted timber, PUR-bonded, packed, at plant",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
3b6d410c-d17d-38b4-a565-03563970a936,"Cross-laminted timber, PUR-bonded, packed, at plant, with resource correction",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
c329609f-2f6e-34d1-9e38-3c8af2b43a09,"Disposal, building, window frame, aluminium, Wicline 75evo",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
d194cc0d-c3f6-49e9-9694-edbc775d3d58,"Disposal, building, window frame, wood, opaquely painted, Baumgartner, wall opening, to final disposal",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
e07cc654-6748-44cc-95bd-6c197a919a64,"Disposal, building, window frame, wood-metal, opaquely painted, Baumgartner, wall opening, to final disposal",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
241477dc-65fc-319a-80d3-37090983f81a,"Disposal, rock wool, Flumroc, at plant",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
29e55a65-0712-3810-850e-0bf7e902b6f9,"Glass wool, Supafil, at regional storage",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
67a9453e-aca5-304a-83b0-f9e4bef2c44a,"Production, washing machine, V-ZUG",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
75202015-6030-3e3e-8f9e-a424e2b13030,"Render carrier board, cement bound, at plant",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
52078a01-3225-3d5e-b2b3-eca820457f2e,"Rock wool, Flumroc, at plant",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
5251f6da-beee-3027-9754-fa56fc94c7c6,"Rock wool, Flumroc, import, at plant",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
99ff12a4-23dd-36aa-a1e3-49e3a954539b,"Rock wool, Flumroc, packed, at plant",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
3b62ceeb-bbd2-35c6-b2e8-ea59f71d7690,Washing machine,kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
e33af7c7-9f40-3d65-8238-14602389c1a1,"Washing machine, at retailer",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
74915c71-54fa-3aa1-b27b-c6d86c00acea,"Window frame, wood, opaquely painted, U=1.0 W/m2K, Baumgartner, wall opening, at plant",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
a525830f-1696-3c3d-9e5e-93419c206be6,"Window frame, wood-metal, opaquely painted, U=1.0 W/m2K, Baumgartner, wall opening, at plant",kbob-manufacturer,flag,no-pdf,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
f8776697-a950-3522-9852-0dfeca6a8279,"Dichloromethane, at plant",structure,structure,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
a86e40e4-1bf1-3124-8798-38c0e6b6af64,"Methylchloride, at plant",structure,structure,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
4cad79ab-f140-35b7-a82d-bcbddc19cae9,"Tetrachloroethylene, at plant",structure,structure,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
48a7efb7-799c-30c3-b932-2c52a61da6bd,"Trichloroethylene, at plant",structure,structure,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
a05e1447-7685-3530-827e-fe68feefb234,"Glass wool mat, bio-based binder ISOVER, at plant",treeze-kbob,flag,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
b3b66822-5c90-3dcd-aa2b-8a39dd2e5c10,"Glass wool mat, phenolic binder ISOVER, at plant",treeze-kbob,flag,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
f74423b2-f369-31e8-9f86-690eca53ab81,"Gypsum block, at plant",treeze-kbob,flag,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
ef0d6337-8fb9-3975-a5b8-3d0c34bffe0b,"Gypsum lime plaster, at plant",treeze-kbob,flag,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
9dde0e93-b9ef-3b8b-a6f8-0cff98a10f19,"Gypsum plaster, at plant",treeze-kbob,flag,pages-not-found,not enough information,"no report in the bundle or none that names inputs, and the metadata names no input (empty, generic or confidential)"
